NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
ABOMANGOLI;NADEGE;F;15/09/1975;BRAZZAVILLE;NA;Congo;NON;NA;Français;Cadre fonction publique;WIKIPEDIA;
ABRIOUX;JEAN CLAUDE;M;01/12/1931;AULNAY SOUS BOIS;SEINE SAINT DENIS;France;11/09/2011;AULNAY SOUS BOIS;Français;SNCF;WIKIPEDIA;
ANATO;PATRICE;M;14/03/1976;LOME;NA;Togo;NON;NA;Français;NA;WIKIPEDIA;
ARCHIMBAUD;ALINE;F;02/11/1948;BELFORT;BELFORT;France;NON;NA;Français;NA;WIKIPEDIA;
ASENSI;FRANCOIS;M;01/06/1945;SANTANDER;NA;Espagne;NON;NA;Français;Dessinateur industriel;WIKIPEDIA;
ASSASSI;ELIANE;F;02/10/1958;PARIS;PARIS;France;NON;NA;Français;Communication;WIKIPEDIA;
AUTAIN;CLEMENTINE;F;26/05/1973;SAINT CLOUD;HAUTS DE SEINE;France;NON;NA;Français;NA;WIKIPEDIA;
BACHELOT;FRANCOIS;M;19/04/1940;MANS;SARTHE;France;14/06/2019;SAINT CLOUD;Français;Radiothérapeute;WIKIPEDIA;
BALLANGER;ROBERT;M;02/11/1912;NANTES;LOIRE ATLANTIQUE;France;26/01/1981;SEVRAN;Français;Ouvrier-e;WIKIPEDIA;Résistance
BEAUDET;PASCAL;M;09/10/1956;LISIEUX;CALVADOS;France;17/03/2022;AUBERVILLIERS;Français;Instituteur-ice;WIKIPEDIA;
BERNARD;PIERRE;M;30/01/1934;STRASBOURG;ALSACE;France;NON;NA;Français;Armée;WIKIPEDIA;
BERTHELOT;MARCELIN;M;09/10/1927;THORAILLES;LOIRET;France;25/09/1997;PARIS;Français;Ouvrier-e;WIKIPEDIA;
BESSAC;PATRICE;M;17/06/1978;AGEN;LOT ET GARONNE;France;NON;NA;Français;Collaborateur politique;WIKIPEDIA;
BESSERER;JEAN;M;NA;NA;NA;NA;NA;NA;Français;NA;NA;
BETEILLE;RAOUL;M;01/01/1924;NIMES;GARD;France;18/04/2015;NA;Français;Magistrat-e;WIKIPEDIA;
BIDARD REYDET;DANIELLE;F;08/12/1939;NA;NA;France;NON;NA;Français;NA;WIKIPEDIA;
BIRSINGER;BERNARD;M;01/09/1954;PARIS;PARIS;France;25/08/2006;BUNUS;Français;Depanneur-se;WIKIPEDIA;
BLANCHET;STEPHANE;M;06/02/1970;NA;NA;NA;NON;NA;NA;Cadre fonction publique;WIKIPEDIA;
BONNEMAISON;GILBERT;M;21/06/1930;PARIS;PARIS;France;30/01/2008;HAUSSEZ;Français;Dessinateur industriel;WIKIPEDIA;
BOUROUAHA;SOUMYA;F;16/03/1964;GHAZAOUT;NA;Algérie;NON;NA;Français;Enseignant-e;WIKIPEDIA;
BRAOUEZEC;PATRICK;M;11/12/1950;PARIS;PARIS;France;NON;NA;Français;Instituteur-ice;WIKIPEDIA;
BRARD;JEAN PIERRE;M;07/02/1948;FLERS;ORNE;France;NON;NA;Français;Instituteur-ice;WIKIPEDIA;
BUFFET;MARIE GEORGE;F;07/05/1949;SCEAUX;HAUTS DE SEINE;France;NON;NA;Français;Employé-e de ville;WIKIPEDIA;
CADOT;MAURICE;M;05/08/1899;ESSIGNY LE PETIT;AISNE;France;03/04/1986;CHANTILLY;Français;SNCF;WIKIPEDIA;
CALMAT;ALAIN;M;31/08/1940;PARIS;PARIS;France;NON;NA;Français;Medecin;WIKIPEDIA;
CALMEJANE;ROBERT;M;19/05/1929;PARIS;PARIS;France;10/12/2002;PARIS;Français;NA;WIKIPEDIA;
CALMEJANE;PATRICE;M;06/02/1960;MONTREUIL;SEINE SAINT DENIS;France;NON;NA;Français;NA;WIKIPEDIA;
CAPO CANELLAS;VINCENT;M;04/05/1967;NIMES;GARD;France;NON;NA;Français;Directeur de cabinet d'élus;WIKIPEDIA;
CARTIGNY;ERNEST;M;18/07/1923;NA;NA;NA;09/12/2009;NA;Français;Chef entreprise;WIKIPEDIA;
CATHALA;CHARLES;M;06/11/1914;GRAULHET;TARN;France;24/11/1996;NOISY LE GRAND;Français;Chef entreprise;WIKIPEDIA;
CHARRIERE;SYLVIE;F;15/05/1961;MONTREUIL;SEINE SAINT DENIS;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
CHONAVAL;JACQUELINE;F;07/07/1924;PARIS;PARIS;France;NON;NA;Français;NA;WIKIPEDIA;
CLEMENT;ROBERT;M;18/01/1939;NA;NA;France;NON;NA;Français;Aide chimiste;WIKIPEDIA;
COQUEREL;ERIC;M;30/12/1958;COURBEVOIE;HAUTS DE SEINE;France;NON;NA;Français;Communication;WIKIPEDIA;
COLLAVERI;LOUIS;M;13/09/1878;LIVOURNE;NA;Italie;05/05/1963;PANTIN;Français;Cadre parti;MAITRON;Franc-maçon
CORBIERE;ALEXIS;M;17/09/1968;BEZIERS;HERAULT;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
CORRIEZ;GEORGES;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
COURTAT;ROBERT;M;26/04/1922;SAINT SEVRAN;ILLE ET VILAINE;France;28/11/1990;LANNION;Français;Haut fonctionnaire;MAITRON;
COUTROT;MAURICE;M;03/12/1907;PARIS;PARIS;France;17/09/1992;BONDY;Français;NA;WIKIPEDIA;
DALLIER;PHILIPPE;M;08/12/1962;LEVALLOIS PERRET;HAUTS DE SEINE;France;NON;NA;Français;Chef de projet;WIKIPEDIA;
DEBARGE;MARCEL;M;16/10/1929;COURRIERES;PAS DE CALAIS;France;23/12/2015;SOUBISE;Français;PTT;WIKIPEDIA;
DELHY;JACQUES;M;19/05/1950;SAINT MANDE;VAL DE MARNE;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
DELMONT KOROPOULIS;ANNIE;F;13/07/1947;NA;NA;NA;NON;NA;Français;NA;WIKIPEDIA;
DEMUYNCK;CHRISTIAN;M;24/07/1947;PERREUX SUR MARNE;VAL DE MARNE;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
DERKAOUI;MERIEM;F;25/09/1955;SAIDA;SAIDA;Algérie;NON;NA;Franco-Alegérien;Fonction publique territoriale;WIKIPEDIA;
DILAIN;CLAUDE;M;12/08/1948;SAINT DENIS;SEINE SAINT DENIS;France;03/03/2015;PARIS;Français;Medecin;WIKIPEDIA;
DUFRICHE;MARCEL;M;16/10/1911;MONACO;NA;Monaco;09/05/2001;MONTREUIL;Français;Douanier-e;WIKIPEDIA;Résistance
FAJON;ETIENNE;M;11/09/1906;JONQUIERES;HERAULT;France;04/12/1991;ARGENTEUIL;Français;Instituteur-ice;WIKIPEDIA;
FEURTET;DANIEL;M;16/09/1944;DIJON;COTE D'OR;France;NON;NA;Français;Chaudronnier-e;WIKIPEDIA;
FOST;PAULETTE;F;18/09/1937;PARIS;PARIS;France;NON;NA;Français;Secrétaire PCF;WIKIPEDIA;
FRANCLET;KARINE;F;13/12/1981;NA;NA;France;NON;NA;Français;CPE;WIKIPEDIA;
FUZIER;CLAUDE;M;02/06/1924;NA;NA;NA;22/01/1997;NA;Français;Journaliste;WIKIPEDIA;
GARCIA;JEAN;M;05/06/1925;MARSEILLE;BOUCHES DU RHONE;France;08/02/2012;BOBIGNY;Français;Ouvrier-e;WIKIPEDIA;
GARRIDO;RAQUEL;F;23/04/1974;VALPARAISO;NA;Chili;NON;NA;Chilio-française;Avocat-e;WIKIPEDIA;
GATIGNON;STEPHANE;M;25/08/1969;ARGENTEUIL;VAL D OISE;France;NON;NA;Français;Collaborateur politique;WIKIPEDIA;
GAUDRON;GERARD;M;26/09/1949;EVANS;JURA;France;NON;NA;Français;Géologue;WIKIPEDIA;
GAY;FABIEN;M;13/01/1984;BORDEAUX;GIRONDE;France;NON;NA;Français;Directeur Fête de l'Huma;WIKIPEDIA;
GAYSSOT;JEAN CLAUDE;M;06/09/1944;BEZIERS;HERAULT;France;NON;NA;Français;SNCF;WIKIPEDIA;
GILLOT;AUGUSTE;M;07/02/1905;DOURDAN;ESSONNE;France;01/09/1998;GISORS;Français;Carrossier-e;WIKIPEDIA;Résistance
GOLDBERG;DANIEL;M;24/08/1965;SAINT DENIS;SEINE SAINT DENIS;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
GOUHIER;ROGER;M;26/01/1928;VITRAI SOUS LAIGLE;ORNE;France;16/03/1995;PARIS;Français;SNCF;WIKIPEDIA;
GOUTMANN;MARIE THERESE;F;29/08/1933;PONTCHARTRAIN;YVELINES;France;29/09/2016;MONTPELLIER;Français;Instituteur-ice;WIKIPEDIA;
GRENIER;FERNAND;M;09/07/1901;TOURCOING;NORD;France;12/08/1992;SAINT DENIS;Français;Boulanger-e;WIKIPEDIA;Résistance
GUIGOU;ELISABETH;F;06/08/1946;MARRAKECH;NA;Maroc;NON;NA;Français;Administrateur-ice;WIKIPEDIA;
GREGOIRE;ANDRE;M;01/01/1911;NA;NA;NA;01/06/1988;NA;Français;Ouvrier-e;PRESSE;
HAMMADI;RAZZY;M;22/02/1979;TOULON;VAR;France;NON;NA;Français;Chef-fe de projet;WIKIPEDIA;
