"Id","IdIndividu","IdEluRNEHisto","IdEluSenat","IdEluAssemblee","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","NuancePolitique","IdTerritoire","NomTerritoire","TypeTerritoire","Sources"
"ain_005",NA,NA,NA,NA,"BARBEROT","PAUL","M",1915-10-26,"DEPUTE",1962-11-18,1967-03-01,"FM",NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_005",NA,NA,NA,NA,"BARBEROT","PAUL","M",1915-10-26,"DEPUTE",1967-03-05,1968-06-20,"FM",NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_005",NA,NA,NA,NA,"BARBEROT","PAUL","M",1915-10-26,"DEPUTE",1968-06-23,1973-03-01,"FM",NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_005",NA,NA,NA,NA,"BARBEROT","PAUL","M",1915-10-26,"DEPUTE",1973-03-04,1978-03-10,"FM",NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_010",NA,NA,NA,NA,"BERTRAND","JEAN MICHEL","M",1943-06-06,"DEPUTE",2002-06-19,2007-06-20,"FM",NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_017",NA,NA,NA,NA,"BOYON","JACQUES","M",1934-09-30,"DEPUTE",1993-04-02,1997-04-21,NA,NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_017",NA,NA,NA,NA,"BOYON","JACQUES","M",1934-09-30,"DEPUTE",1988-06-23,1993-04-01,"FM",NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_017",NA,NA,NA,NA,"BOYON","JACQUES","M",1934-09-30,"DEPUTE",1986-04-02,1986-09-20,"GOUVERNEMENT",NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_017",NA,NA,NA,NA,"BOYON","JACQUES","M",1934-09-30,"DEPUTE",1978-04-03,1981-05-22,"FM",NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_019",NA,NA,NA,NA,"BRETON ","XAVIER","M",1962-11-25,"DEPUTE",2007-06-17,2012-06-10,"FM",NA,NA,NA,NA,"DROITE",NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_019",NA,NA,NA,NA,"BRETON ","XAVIER","M",1962-11-25,"DEPUTE",2012-12-17,2017-06-10,"FM",NA,NA,NA,NA,"DROITE",NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_019",NA,NA,NA,NA,"BRETON ","XAVIER","M",1962-11-25,"DEPUTE",2017-06-18,2022-06-10,"FM",NA,NA,NA,NA,"DROITE",NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_019",NA,NA,NA,NA,"BRETON ","XAVIER","M",1962-11-25,"DEPUTE",2022-06-19,NA,NA,NA,NA,NA,NA,"DROITE",NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_072",NA,NA,NA,NA,"ROBIN ","LOUIS","M",1923-05-01,"DEPUTE",1981-06-14,1986-03-10,"FM",NA,NA,NA,NA,NA,NA,"1ERE CIRCONSCRIPTION AIN","Circonscription legislative","WIKIPEDIA"
"ain_057",NA,NA,NA,NA,"MERCIER","AMEDEE","M",1890-12-02,"DEPUTE",1958-11-30,1962-10-09,"FM",NA,NA,NA,NA,"SOC",NA,"1ERE CIRCONSCRIPTION AIN","Departement","WIKIPEDIA"
